WARNING | 2025-10-23 07:21:42,721 | main.py:52 | BOT WAS STARTED
ERROR | 2025-10-23 07:21:48,482 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:21:48,482 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:21:57,858 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:21:57,858 | dispatcher.py:221 | Sleep for 1.294788 seconds and try again... (tryings = 1, bot id = 8206207565)
ERROR | 2025-10-23 07:22:07,364 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:07,365 | dispatcher.py:221 | Sleep for 1.733313 seconds and try again... (tryings = 2, bot id = 8206207565)
ERROR | 2025-10-23 07:22:17,481 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:17,481 | dispatcher.py:221 | Sleep for 2.249442 seconds and try again... (tryings = 3, bot id = 8206207565)
ERROR | 2025-10-23 07:22:23,994 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:23,994 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:22:29,377 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:29,378 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:22:34,912 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:34,913 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:22:40,860 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:40,861 | dispatcher.py:221 | Sleep for 1.270860 seconds and try again... (tryings = 1, bot id = 8206207565)
ERROR | 2025-10-23 07:22:46,397 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:46,398 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:22:52,026 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:52,027 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:22:57,955 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:22:57,956 | dispatcher.py:221 | Sleep for 1.320199 seconds and try again... (tryings = 1, bot id = 8206207565)
ERROR | 2025-10-23 07:23:04,757 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:04,758 | dispatcher.py:221 | Sleep for 1.645345 seconds and try again... (tryings = 2, bot id = 8206207565)
ERROR | 2025-10-23 07:23:12,504 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:12,504 | dispatcher.py:221 | Sleep for 2.222540 seconds and try again... (tryings = 3, bot id = 8206207565)
ERROR | 2025-10-23 07:23:21,507 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:21,507 | dispatcher.py:221 | Sleep for 2.888199 seconds and try again... (tryings = 4, bot id = 8206207565)
ERROR | 2025-10-23 07:23:29,300 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:29,301 | dispatcher.py:221 | Sleep for 3.885576 seconds and try again... (tryings = 5, bot id = 8206207565)
ERROR | 2025-10-23 07:23:38,419 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:38,419 | dispatcher.py:221 | Sleep for 4.974591 seconds and try again... (tryings = 6, bot id = 8206207565)
ERROR | 2025-10-23 07:23:48,619 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:48,620 | dispatcher.py:221 | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8206207565)
ERROR | 2025-10-23 07:23:57,997 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:23:57,998 | dispatcher.py:221 | Sleep for 1.250475 seconds and try again... (tryings = 1, bot id = 8206207565)
ERROR | 2025-10-23 07:24:07,585 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:24:07,585 | dispatcher.py:221 | Sleep for 1.502722 seconds and try again... (tryings = 2, bot id = 8206207565)
ERROR | 2025-10-23 07:24:17,398 | dispatcher.py:219 | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
WARNING | 2025-10-23 07:24:17,398 | dispatcher.py:221 | Sleep for 1.767562 seconds and try again... (tryings = 3, bot id = 8206207565)
